is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
False,1910,4,1,0,17,21,33,101803,56235,751,101,9550,False,4,0,77,23740,25178,42728,405
True,1910,10,3,1,33,55,17,135935,66185,760,157,9550,False,6,0,58,24127,28283,37798,433
False,1438,1,0,0,15,12,33,69665,38381,546,73,7190,False,4,0,42,25068,31384,42219,432
True,1438,11,3,1,33,35,15,98385,56134,638,120,7190,False,4,0,44,25980,26940,42995,457
True,1484,10,2,1,40,82,29,106403,59087,514,139,7420,False,3,0,72,30623,33864,47501,439
False,1484,0,1,0,29,54,40,82004,47225,480,132,7420,False,4,0,38,26557,31689,47478,371
True,2803,9,3,1,47,114,47,216310,88525,863,295,14015,False,3,0,68,24952,31646,51013,342
False,2803,10,4,2,46,71,47,188387,90636,890,252,14015,False,9,0,113,26906,36949,43403,401
True,1611,10,2,1,39,59,28,104817,60087,611,160,8055,False,3,0,57,24153,29508,44362,378
False,1611,3,1,0,27,18,39,96181,47555,580,146,8055,False,5,0,53,26573,31528,43498,412
False,1819,5,2,1,36,60,36,125369,59933,591,160,9095,False,3,0,55,25020,28188,43621,381
True,1819,9,2,1,36,70,36,122120,65305,637,209,9095,False,5,0,71,27594,27078,40798,372
True,1686,11,4,1,40,61,20,128817,64530,673,136,8430,False,4,0,57,26677,33479,40513,400
False,1686,3,0,0,19,24,40,82387,49313,584,103,8430,False,2,0,61,23140,25669,47864,367
True,1760,8,3,2,20,33,22,109082,57476,720,167,8800,False,3,0,60,21208,20312,38047,435
False,1760,3,1,0,22,42,20,90636,53525,639,111,8800,False,6,0,56,25781,22927,34196,447
False,1795,3,2,0,25,53,37,102687,54947,677,178,8975,False,3,0,73,26018,32829,47139,392
True,1795,8,2,1,37,65,25,112385,62123,686,154,8975,False,6,0,64,24565,30810,42181,386
True,1624,11,1,1,27,48,19,90247,61823,743,103,8120,False,5,0,61,29195,27910,31531,524
False,1624,0,3,0,19,28,27,48622,49033,611,61,8120,False,3,0,58,23592,18667,41343,395
True,2260,8,4,0,26,34,33,175114,70372,898,148,11300,False,4,0,90,25096,32291,43005,452
False,2260,7,1,3,33,68,26,135419,78051,811,161,11300,False,6,0,79,23441,24980,42966,379
False,1561,3,2,0,13,18,30,57323,42124,558,98,7805,False,4,0,56,20954,19022,44277,375
True,1561,9,2,1,30,53,13,97855,53787,572,98,7805,False,4,0,50,25027,29193,33251,451
True,2453,9,4,0,34,62,33,163564,82594,1026,166,12265,False,5,0,92,25784,25355,39562,473
False,2453,7,2,2,33,63,34,161287,77506,942,198,12265,False,7,0,114,23116,23799,41804,430
False,912,0,0,0,8,9,24,31458,24492,333,38,4560,False,2,0,28,21846,26637,45578,376
True,912,4,1,0,24,22,8,40429,34590,415,58,4560,False,2,0,27,31535,35679,39967,462
True,1650,11,4,1,39,52,20,105504,61292,642,159,8250,False,4,0,55,25785,31540,45500,408
False,1650,2,0,0,20,24,39,85865,51683,639,65,8250,False,3,0,44,25104,29886,46865,418
False,2713,7,3,1,28,51,34,171831,79512,977,181,13565,False,4,0,103,22746,25375,35927,411
True,2713,8,4,1,34,50,28,158573,85040,989,201,13565,False,7,0,148,24296,23286,43132,426
False,1563,4,1,0,23,39,36,81767,51816,646,77,7815,False,5,0,57,27924,28443,53327,484
True,1563,7,3,1,36,78,23,112840,57303,628,150,7815,False,3,0,49,26887,33939,38361,441
True,913,3,2,0,20,20,10,40039,33001,366,68,4565,False,3,0,25,30566,34401,42249,425
False,913,0,0,0,10,6,20,29837,22831,261,55,4565,False,1,0,24,21123,25464,45383,317
True,1603,10,2,1,27,47,15,97912,57642,658,122,8015,False,5,0,63,27314,30051,40073,422
False,1603,3,1,0,15,20,27,67915,48566,658,78,8015,False,3,0,47,22487,24973,43730,426
True,1436,11,1,1,26,37,15,90918,53883,621,120,7180,False,2,0,43,26013,33726,39801,417
False,1436,1,2,0,15,22,26,56027,40992,566,74,7180,False,3,0,29,23947,27116,49051,390
False,1341,1,0,0,8,14,15,41338,36737,526,81,6705,False,3,0,53,24400,23562,36995,423
True,1341,4,3,0,15,23,8,53223,43195,619,63,6705,False,3,0,61,23759,23188,34646,448
True,817,2,1,0,16,16,4,27996,30127,342,28,4085,False,4,0,23,30127,27996,41507,444
False,817,0,0,0,4,3,16,23383,19953,277,26,4085,False,0,0,18,19953,23383,41074,342
False,2553,5,4,1,42,68,55,208373,80385,838,334,12765,False,7,0,76,21377,20016,43901,396
True,2553,9,2,2,55,90,43,196025,88781,820,284,12765,False,2,0,90,25539,27085,44139,399
True,1250,5,1,0,30,37,7,67896,42397,471,92,6250,False,4,0,40,26654,29567,36696,412
False,1250,2,0,0,7,4,30,45395,33093,443,78,6250,False,2,0,42,21634,23705,43536,361
True,1019,2,0,0,26,16,12,46161,34728,382,33,5095,False,3,0,20,26259,31018,46720,376
False,1019,1,0,0,12,9,26,40844,28427,333,74,5095,False,2,0,24,23586,32319,44430,324
False,1710,1,1,0,23,42,51,106177,55303,701,116,8550,False,4,0,32,23547,33740,49366,376
True,1710,11,3,2,51,65,23,119682,67773,603,128,8550,False,4,0,43,28770,32819,52147,388
True,1795,8,4,2,35,40,21,112477,64108,734,78,8975,False,5,0,72,26006,36722,46464,440
False,1795,5,0,0,21,22,35,93700,55756,744,127,8975,False,4,0,39,23814,27990,47344,395
True,2086,11,3,1,45,62,42,149307,72798,697,242,10430,False,6,0,73,26607,37213,53789,385
False,2086,3,2,0,41,56,45,137214,67560,761,157,10430,False,5,0,60,25479,32113,52003,376
False,1580,4,1,0,19,30,31,72982,48639,568,98,7900,False,2,0,60,24303,21367,45422,435
True,1580,6,3,1,31,42,19,102872,56462,602,115,7900,False,5,0,54,26061,27758,36331,422
True,1762,8,2,1,42,65,26,123219,63226,595,125,8810,False,6,0,63,25692,30166,46154,388
