match_id,team_id,is_winner,game_duration,tower_kills,dragon_kills,baron_kills,total_kills,total_assists,total_deaths,total_damage_dealt,total_gold_earned,total_minions_killed,total_time_cc_dealt,total_time_played,had_afk_teammates,total_scuttle_crab_kills,total_ward_takedowns,total_wards_placed,gold15,damage_done15,kills15,cs15
NA1_5160066570,200,False,1769,3,2,0,29,30,20,86343,50399,561,107,8845,False,2,0,49,22624,24920,45495,337
NA1_5160015167,100,False,1906,5,4,0,30,43,27,95462,55305,551,181,9530,False,5,0,55,23282,25390,39539,357
NA1_5160015167,200,True,1906,7,1,1,27,47,30,103467,59586,607,180,9530,False,3,0,32,20749,22044,39187,376
NA1_5175843531,100,True,2323,11,3,1,43,57,47,172745,74483,723,151,11615,False,7,0,67,22078,22097,42879,387
NA1_5175843531,200,False,2323,4,3,0,46,78,43,165644,71894,708,218,11615,False,3,0,64,24287,29520,37267,354
NA1_5158322069,100,False,1762,2,0,0,20,26,27,82344,43972,431,127,8810,False,2,0,38,20723,25006,34928,280
NA1_5158322069,200,True,1762,7,3,0,27,36,20,79279,54684,451,62,8810,False,6,0,53,23764,23350,41788,349
NA1_5142032179,100,False,2345,5,2,0,35,57,43,138721,68502,789,92,11725,False,2,0,85,21882,26712,46471,351
NA1_5142032179,200,True,2345,11,4,3,43,71,35,174529,80698,735,180,11725,False,8,0,68,25293,31613,39137,362
NA1_5141986933,100,False,1742,1,1,0,7,9,38,73649,40117,521,141,8710,False,1,0,43,18989,17668,35354,351
NA1_5141986933,200,True,1742,10,3,0,38,49,7,96775,59411,611,186,8710,False,7,0,34,24836,23005,35093,446
NA1_5141944380,100,False,1985,4,2,0,20,22,34,92369,53226,642,137,9925,False,2,0,52,22196,17545,30891,385
NA1_5141944380,200,True,1985,11,3,2,34,65,20,112339,69000,647,181,9925,False,8,0,83,22773,18760,32029,433
NA1_5175832996,100,False,1656,5,0,0,26,27,33,68912,50493,545,73,8280,False,5,0,59,25888,26925,45637,379
